,entry_signal_date,exit_signal_date,entry_fill_date,exit_fill_date,side,rv_entry,rv_exit,hedge_ratio_entry,hedge_ratio_exit,holding_days,gross_pnl,cost,net_pnl,closed_at_end,hy_spread_entry,ig_spread_entry,hy_spread_exit,ig_spread_exit,vol_regime,equity_regime,equity_credit_lag,HYG_vol_21,delta_hy,delta_ig
66,2020-03-17,2020-04-30,2020-03-18,2020-05-01,-1,0.03690137138037908,-0.04366210583729824,1.339198494557073,1.525506759194012,31,80563.47721767731,1192.063492063492,79371.41372561382,False,-0.639637050350557,-0.11743649132397521,-0.6069801459615972,-0.014881465264316359,high,bear,neither,0.3529276379560463,0.03265690438895974,0.10255502605965885
67,2020-08-13,2020-10-26,2020-08-14,2020-10-27,-1,0.000774874749208565,0.005883002362289336,0.9996110880777807,1.0294514693822925,51,-5108.127613080771,1509.5238095238094,-6617.65142260458,False,-0.5289003851548747,0.04521137393979687,-0.5172447857391566,0.052291591320039285,high,bull,neither,0.052668385320598955,0.011655599415718143,0.007080217380242414
68,2020-11-09,2020-11-12,2020-11-10,2020-11-13,-1,0.02804606699061757,0.016715497811985336,1.1089685984543916,1.099253462689813,3,11330.569178632233,747.6190476190476,10582.950131013185,False,-0.48060286316269346,0.06319376480828232,-0.49027673355614454,0.06428060934245063,high,bull,neither,0.07660696389368696,-0.009673870393451078,0.0010868445341683103
69,2020-11-30,2020-12-04,2020-12-01,2020-12-07,1,0.0030173109722170244,0.011914302861588233,1.3377878296437926,1.4816596640578095,4,8896.99188937121,763.4920634920635,8133.499825879146,False,-0.4755398268748305,0.08224177907479617,-0.46865596580258717,0.07799874762770445,high,bull,neither,0.06344501245737859,0.0068838610722433136,-0.004243031447091719
70,2021-02-12,2021-03-30,2021-02-16,2021-03-31,-1,0.031617374633019835,0.03273087432677091,1.7890172688602377,2.0127687898232556,31,-1113.4996937510743,1192.063492063492,-2305.563185814566,False,-0.42935697071900747,0.07895421570464163,-0.396773391344871,0.08737432558080416,low,bull,neither,0.03217864720133587,0.03258357937413647,0.008420109876162526
71,2021-06-11,2021-08-09,2021-06-14,2021-08-10,1,-0.0018775966049991433,-0.007934932206276057,1.7157651327810233,0.43638021676456995,40,-6057.3356012769145,1334.9206349206347,-7392.256236197549,False,-0.4048591562645559,0.09471525891988669,-0.4173427980072534,0.09026788944323723,low,bull,equity_first,0.02944263193922307,-0.012483641742697504,-0.004447369476649463
72,2021-09-17,2021-10-27,2021-09-20,2021-10-28,-1,-0.0014812720288722159,0.0067059562055581945,-0.16837329949586255,0.5669423467395487,28,-8187.22823443041,1144.4444444444443,-9331.672678874855,False,-0.4112209943796681,0.10170405628436087,-0.3930848315528974,0.10795233247378683,low,bull,neither,0.027276670556275275,0.018136162826770663,0.006248276189425958
73,2021-11-26,2021-12-08,2021-11-29,2021-12-09,1,-0.002912100010660057,0.006589016611089515,1.4107868284745173,1.726041394225452,8,9501.116621749572,826.984126984127,8674.132494765445,False,-0.40861330065257845,0.09873769971921371,-0.40239019659972647,0.09749298611705079,low,bull,neither,0.04788543273985374,0.00622310405285198,-0.0012447136021629251
74,2022-01-03,2022-01-27,2022-01-04,2022-01-28,-1,0.019577637894332978,0.014537320277104526,1.6661113060731778,0.7216194688061576,17,5040.317617228451,969.8412698412699,4070.4763473871812,False,-0.3840639490900387,0.09987220190636296,-0.3967329245966872,0.08416275800418159,low,bull,neither,0.042389910823877885,-0.012668975506648472,-0.015709443902181375
75,2022-03-01,2022-03-16,2022-03-02,2022-03-17,1,0.0022314075185372317,0.01622935437705819,0.06064820014478038,0.23955166228161096,11,13997.94685852096,874.6031746031746,13123.343683917785,False,-0.3970227267721509,0.05967884109433079,-0.38578096590764377,0.07158145218120343,high,bear,neither,0.07860370176603163,0.011241760864507122,0.011902611086872641
